Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Start date),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
Mark Python Colab,PMWJIW4-27,10026,Subtask,In Progress,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,,Antonny Muiko,60c0d3fe20d2dd007027a1f6,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:41 PM,14/Aug/21 1:43 PM,14/Aug/21 2:09 PM,,,0,,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i00053:,,,,,,,,10022,Check work,In Progress
Mark Jira,PMWJIW4-26,10025,Subtask,In Progress,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,,Nikita Njoroge,5f0c39509e8ba30016b2792f,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:41 PM,14/Aug/21 1:43 PM,14/Aug/21 2:39 PM,,,0,,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i0004v:,,,,,,,,10022,Check work,In Progress
Mark GitHub,PMWJIW4-25,10024,Subtask,In Progress,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,,Nikita Njoroge,5f0c39509e8ba30016b2792f,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:40 PM,14/Aug/21 1:43 PM,14/Aug/21 2:39 PM,,,0,,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i0004n:,,,,,,,,10022,Check work,In Progress
Mark Data Report,PMWJIW4-24,10023,Subtask,In Progress,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,,Antonny Muiko,60c0d3fe20d2dd007027a1f6,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:40 PM,14/Aug/21 1:43 PM,14/Aug/21 1:42 PM,,,0,,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i0004f:,,,,,,,,10022,Check work,In Progress
Check work,PMWJIW4-23,10022,Task,To Do,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,,,,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:40 PM,14/Aug/21 1:43 PM,14/Aug/21 1:43 PM,,,0,Team Managers,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i00047:,,,,,,,,,,To Do
6. Evaluation,PMWJIW4-22,10021,Task,Done,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,Done,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:24 PM,14/Aug/21 1:27 PM,14/Aug/21 1:27 PM,14/Aug/21 1:27 PM,,0,"Using insights from the data, we have been able to gain an understanding on the usage of electric cars through an eclectic car sharing company in France. From the analysis ,  the most popular station should be maintained in such a way that it never has broken charging slots and its status is always operational.",,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i0003z:,,,,,,,,,,Done
Do the results change when Utilib 1.4 and Utilib are considered? No,PMWJIW4-21,10020,Subtask,Done,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,Done,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:22 PM,14/Aug/21 1:26 PM,14/Aug/21 2:39 PM,14/Aug/21 1:26 PM,,0,,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i0003r:,,,,,,,,10009,4. Analysis,Done
Does the most popular postal code belong to the most popular station? No. Paris/Porte de Montrouge is in the code 75014,PMWJIW4-20,10019,Subtask,Done,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,Done,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:22 PM,14/Aug/21 1:26 PM,14/Aug/21 2:39 PM,14/Aug/21 1:26 PM,,0,,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i0003j:,,,,,,,,10009,4. Analysis,Done
Most popular postal code for picking up blue cars : 75015,PMWJIW4-19,10018,Subtask,Done,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,Done,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:22 PM,14/Aug/21 1:26 PM,14/Aug/21 2:39 PM,14/Aug/21 1:26 PM,,0,,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i0003b:,,,,,,,,10009,4. Analysis,Done
Most popular station overall : Paris/Porte de Montrouge,PMWJIW4-18,10017,Subtask,Done,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,Done,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:22 PM,14/Aug/21 1:26 PM,14/Aug/21 2:39 PM,14/Aug/21 1:26 PM,,0,,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i00033:,,,,,,,,10009,4. Analysis,Done
